Variable,Mean,Std Dev,Min,25%,50%,75%,Max
longitude,-119.57,2.0,-124.35,-121.8,-118.49,-118.01,-114.31
latitude,35.63,2.14,32.54,33.93,34.26,37.71,41.95
housing_median_age,28.64,12.59,1.0,18.0,29.0,37.0,52.0
total_rooms,2635.76,2181.62,2.0,1447.75,2127.0,3148.0,39320.0
total_bedrooms,536.85,419.39,1.0,297.0,435.0,643.25,6445.0
population,1425.48,1132.46,3.0,787.0,1166.0,1725.0,35682.0
households,499.54,382.33,1.0,280.0,409.0,605.0,6082.0
median_income,3.87,1.9,0.5,2.56,3.53,4.74,15.0
median_house_value,206855.82,115395.62,14999.0,119600.0,179700.0,264725.0,500001.0
price_to_income,565051931.45,323559177.17,35769817.8,385638024.65,495001801.75,658792019.28,10002020404.08
rooms_per_household,5.43,2.47,0.85,4.44,5.23,6.05,141.91
bedrooms_per_room,0.21,0.07,0.04,0.18,0.2,0.24,2.75
