Variable,Coefficient,Std Error,t-statistic,p-value
Intercept,-2094569.7227051943,90700.0825488589,-23.093360709753245,1.619177774396187e-116
median_income,37285.05159169671,280.37054509585994,132.984909591515,0.0
housing_median_age,824.0768857835636,43.095601757190536,19.122064716176418,8.276381536528866e-81
latitude,-23441.754804186206,1034.497617393334,-22.660037500379516,2.6057572031537985e-112
longitude,-24930.591043978995,1049.6282950321554,-23.751828301480046,4.7081193677487066e-123
ocean_proximity_INLAND,-44230.06059548382,1811.4016863225756,-24.41758828505766,7.725632473759294e-130
ocean_proximity_ISLAND,169077.90579764743,32355.87040106444,5.225571239526449,1.7530697164646936e-07
ocean_proximity_NEAR BAY,5195.015265469602,1990.9512410407372,2.609313155632075,0.009078964971404972
ocean_proximity_NEAR OCEAN,9762.259783844456,1631.1766672732208,5.984796116636264,2.2024040386925517e-09
